POLITICIAN,CATEGORY,TOPIC
hillary_clinton,social_policy,womens_rights
hillary_clinton,social_policy,internet_neutrality
hillary_clinton,social_policy,video_game_regulation
hillary_clinton,social_policy,arts_and_culture
hillary_clinton,social_policy,environment
hillary_clinton,social_policy,racial_justice
hillary_clinton,social_policy,faithbased_initiatives
hillary_clinton,social_policy,church_and_state
hillary_clinton,social_policy,drug_policy
hillary_clinton,social_policy,abortion_and_birth_control
hillary_clinton,social_policy,stem_cell_research
hillary_clinton,social_policy,lgbt_rights
hillary_clinton,social_policy,crime
hillary_clinton,social_policy,poverty
hillary_clinton,social_policy,from_childhood_to_retirement
hillary_clinton,social_policy,income_inequality
john_edwards,economic_policy,college_for_everyone
john_edwards,economic_policy,energy_independence_and_stopping_global_warming
john_edwards,economic_policy,end_poverty_in_years
john_edwards,foreign_policy,iraq_and_the_middle_east
john_edwards,foreign_policy,war_on_terrorism
john_edwards,health_care,overview
john_edwards,health_care,revenue_sources
john_edwards,health_care,cost_containment
john_edwards,social_policy,immigration
john_edwards,social_policy,abortion
john_edwards,social_policy,cannabis_legalization
john_edwards,social_policy,lgbt_issues
john_edwards,social_policy,national_service
john_edwards,social_policy,civil_liberties
john_edwards,crime,overview
john_edwards,the_media,overview
mitt_romney,economic_policy,unemployment_insurance
mitt_romney,economic_policy,defense_spending_levels
mitt_romney,economic_policy,minimum_wage
mitt_romney,economic_policy,stimulus
mitt_romney,economic_policy,automotive_industry
mitt_romney,economic_policy,technology
mitt_romney,economic_policy,labor_unions
mitt_romney,economic_policy,space_exploration
mitt_romney,economic_policy,housing_market
mitt_romney,economic_policy,agriculture
mitt_romney,economic_policy,financial_industry_regulation_and_occupy_wall_street
mitt_romney,economic_policy,trade
mitt_romney,economic_policy,jobs_plan
mitt_romney,economic_policy,health_care
mitt_romney,economic_policy,campaign_finance
mitt_romney,economic_policy,federal_emergency_management_disaster_relief
mitt_romney,economic_policy,energy_and_the_environment
mitt_romney,economic_policy,deficit
mitt_romney,economic_policy,taxation
mitt_romney,economic_policy,budget
mitt_romney,foreign_policy,us_place_in_the_world
mitt_romney,foreign_policy,european_debt_crisis
mitt_romney,foreign_policy,iran
mitt_romney,foreign_policy,iraq
mitt_romney,foreign_policy,israel_and_the_arabisraeli_conflict
mitt_romney,foreign_policy,pakistan
mitt_romney,foreign_policy,syria
mitt_romney,foreign_policy,role_of_culture_in_producing_prosperity
mitt_romney,foreign_policy,libya
mitt_romney,foreign_policy,venezuela
mitt_romney,foreign_policy,china
mitt_romney,foreign_policy,russia
mitt_romney,foreign_policy,european_allies
mitt_romney,foreign_policy,france
mitt_romney,foreign_policy,war_on_terror
mitt_romney,foreign_policy,war_in_afghanistan
mitt_romney,foreign_policy,cuba
